station,longitude,latitude,glmN_Fig6_topL,glmW_Fig6_midL,glmF_Fig6_lowL,glmNse_Fig6_topR,glmWse_Fig6_midR,glmFse_Fig6_lowR,area_artReefs,area_platforms,N_artificialReefs,N_platforms,W_artificialReefs,W_platforms,F_artificialReefs,F_platforms,totalN_Fig7top,totalW_Fig7mid,totalF_Fig7low
12,-83.02114634,24.96931199,6.19792842,24.78796549,1.919993969,17.79257213,15.87091117,1.421437634,0,0,0,0,0,0,0,0,6.19792842,24.78796549,1.919993969
13,-82.9223194,24.96663398,4.452923239,7.314221793,0.469969026,33.43803984,11.89393703,0.392790824,0,0,0,0,0,0,0,0,4.452923239,7.314221793,0.469969026
14,-82.82350683,24.96389067,3.830493477,6.34495652,0.408601737,28.96706794,10.3172502,0.343585253,0,0,0,0,0,0,0,0,3.830493477,6.34495652,0.408601737
15,-82.72470898,24.96108208,2.416290894,3.374124844,0.187645808,18.13027594,6.198511116,0.111634784,0.000314159,0,0.279420809,0,0.300614884,0,0.015808363,0,2.694952603,3.673679716,0.20339522
16,-82.62592618,24.95820826,1.338488995,2.105415824,0.122052462,13.25881179,4.551888855,0.086037946,0,0,0,0,0,0,0,0,1.338488995,2.105415824,0.122052462
17,-84.00794109,25.08267939,2.650523283,11.46638386,0.849127344,6.373542457,6.386241403,0.547815426,0,0,0,0,0,0,0,0,2.650523283,11.46638386,0.849127344
18,-83.90891729,25.08064805,3.448639743,14.88666427,1.102176211,8.392212704,8.259857715,0.707131476,0,0,0,0,0,0,0,0,3.448639743,14.88666427,1.102176211
19,-83.80990443,25.0785508,3.175533696,13.71628462,1.015585871,7.701412538,7.618486878,0.652597067,0,0,0,0,0,0,0,0,3.175533696,13.71628462,1.015585871
20,-83.71090286,25.07638768,10.7229421,55.27545237,4.386909376,16.46210411,54.06620848,5.201426441,0,0,0,0,0,0,0,0,10.7229421,55.27545237,4.386909376
21,-83.61191294,25.07415871,23.14250516,117.4842368,9.950521047,70.25092249,91.53161419,8.738670008,0,0,0,0,0,0,0,0,23.14250516,117.4842368,9.950521047
22,-83.512935,25.07186393,14.12984047,72.00015523,6.094224507,42.33033298,57.36607889,5.488782749,0,0,0,0,0,0,0,0,14.12984047,72.00015523,6.094224507
23,-83.4139694,25.06950336,13.52194345,65.35831832,5.19165782,21.37761907,39.53590488,3.798791106,0,0,0,0,0,0,0,0,13.52194345,65.35831832,5.19165782
24,-83.31501649,25.06707704,10.3515667,50.12060321,3.980888482,16.27188991,30.76842648,2.95785153,0,0,0,0,0,0,0,0,10.3515667,50.12060321,3.980888482
25,-83.2160766,25.06458501,4.034563854,19.75932521,1.568420197,6.120685188,13.42108038,1.293394439,0,0,0,0,0,0,0,0,4.034563854,19.75932521,1.568420197
26,-83.11715009,25.06202729,8.361994741,33.30107522,2.578836061,24.03029158,21.10175956,1.886124329,0,0,0,0,0,0,0,0,8.361994741,33.30107522,2.578836061
27,-83.01823731,25.05940392,6.799194539,27.1532555,2.103047244,19.5252502,17.32321646,1.550457522,0,0,0,0,0,0,0,0,6.799194539,27.1532555,2.103047244
28,-82.9193386,25.05671494,6.114244991,24.45876753,1.894516854,17.55145497,15.66886652,1.403488117,0,0,0,0,0,0,0,0,6.114244991,24.45876753,1.894516854
29,-82.8204543,25.05396039,4.434938954,7.286216154,0.468195899,33.30877279,11.84834587,0.391367368,0,0,0,0,0,0,0,0,4.434938954,7.286216154,0.468195899
30,-82.72158477,25.0511403,0.822088568,1.660183107,0.111993729,7.731094963,2.846442054,0.111994499,0,0,0,0,0,0,0,0,0.822088568,1.660183107,0.111993729
31,-82.62273034,25.04825471,3.382061218,4.510958544,0.246421087,22.6704248,7.734549998,0.135667465,0,0,0,0,0,0,0,0,3.382061218,4.510958544,0.246421087
32,-82.52389137,25.04530367,2.1357674,3.043913246,0.170573585,16.8357747,5.760765742,0.104812536,0,0,0,0,0,0,0,0,2.1357674,3.043913246,0.170573585
33,-82.4250682,25.04228721,1.223565364,1.970136189,0.115058389,12.76091133,4.383713096,0.083432035,0,0,0,0,0,0,0,0,1.223565364,1.970136189,0.115058389
34,-82.32626117,25.03920537,1.361214473,2.132166583,0.123435499,13.35793197,4.585371643,0.086556863,0,0,0,0,0,0,0,0,1.361214473,2.132166583,0.123435499
35,-82.22747062,25.03605821,1.174748109,1.912672111,0.112087446,12.55121708,4.31289217,0.082334805,0,0,0,0,0,0,0,0,1.174748109,1.912672111,0.112087446
36,-82.12869691,25.03284575,1.179910396,1.918748775,0.112401615,12.57333804,4.320362966,0.082450549,0,0,0,0,0,0,0,0,1.179910396,1.918748775,0.112401615
37,-82.02994037,25.02956804,1.189589047,1.930141771,0.112990643,12.61484667,4.334381594,0.082667737,0,0,0,0,0,0,0,0,1.189589047,1.930141771,0.112990643
38,-81.93120135,25.02622514,1.559379065,2.365431347,0.135495488,14.23057717,4.880193147,0.091128096,0,0,0,0,0,0,0,0,1.559379065,2.365431347,0.135495488
39,-81.83248019,25.02281708,2.406124412,3.36215761,0.187027092,18.08312314,6.182564065,0.111386024,0,0,0,0,0,0,0,0,2.406124412,3.36215761,0.187027092
40,-81.73377724,25.01934392,2.077371145,2.975173476,0.16701968,16.56817551,5.670289925,0.1034041,0,0,0,0,0,0,0,0,2.077371145,2.975173476,0.16701968
41,-81.63509283,25.01580569,1.27243839,2.027665915,0.118032725,12.97194629,4.454991291,0.08453642,0,0,0,0,0,0,0,0,1.27243839,2.027665915,0.118032725
42,-81.5364273,25.01220246,2.89836316,3.941584813,0.216983976,20.38317968,6.960593877,0.123541349,0,0,0,0,0,0,0,0,2.89836316,3.941584813,0.216983976
43,-81.437781,25.00853426,7.251375235,9.065630049,0.481901516,41.39133534,14.07416997,0.235750202,0,0,0,0,0,0,0,0,7.251375235,9.065630049,0.481901516
44,-84.00574146,25.172865,3.190244435,13.77932661,1.020250022,7.738621426,7.653028701,0.655534134,0,0,0,0,0,0,0,0,3.190244435,13.77932661,1.020250022
45,-83.90664514,25.17082536,2.511444134,10.87036847,0.805031247,6.021811246,6.060022401,0.520074049,0,0,0,0,0,0,0,0,2.511444134,10.87036847,0.805031247
46,-83.8075598,25.16871954,4.240561938,18.28039953,1.35326114,10.39544353,10.1205288,0.865332491,0,0,0,0,0,0,0,0,4.240561938,18.28039953,1.35326114
47,-83.70848579,25.16654758,8.599517294,44.36391106,3.520001258,13.08654377,43.3646168,4.170077806,0,0,0,0,0,0,0,0,8.599517294,44.36391106,3.520001258
48,-83.60942345,25.16430951,20.95025286,106.4206295,9.01251045,63.45828837,83.21337305,7.947464514,0,0,0,0,0,0,0,0,20.95025286,106.4206295,9.01251045
49,-83.51037314,25.16200535,8.200305378,39.78104113,3.159320115,12.80939888,24.83178236,2.388377267,0,0,0,0,0,0,0,0,8.200305378,39.78104113,3.159320115
50,-83.41133521,25.15963513,13.469391,65.10573658,5.171587999,21.29296879,39.39046131,3.784841269,0,0,0,0,0,0,0,0,13.469391,65.10573658,5.171587999
51,-83.31231,25.1571989,12.94940452,62.60653648,4.973004758,20.45541137,37.95151907,3.646828195,0,0,0,0,0,0,0,0,12.94940452,62.60653648,4.973004758
52,-83.21329787,25.15469669,5.183651483,20.79795337,1.611201058,14.87088507,13.42386096,1.204037084,0,0,0,0,0,0,0,0,5.183651483,20.79795337,1.611201058
53,-83.11429915,25.15212852,8.712735458,34.68083617,2.685617792,25.04157311,21.95031773,1.961504451,0,0,0,0,0,0,0,0,8.712735458,34.68083617,2.685617792
54,-83.01531421,25.14949444,5.4761517,21.948605,1.700251681,15.71326249,14.12909903,1.266693331,0,0,0,0,0,0,0,0,5.4761517,21.948605,1.700251681
55,-82.91634337,25.14679447,7.367993536,11.8536519,0.757374884,54.42618846,19.29847333,0.624266406,0,0,0,0,0,0,0,0,7.367993536,11.8536519,0.757374884
56,-82.81738701,25.14402867,6.171379674,9.990250872,0.639396997,45.80454738,16.2563968,0.529114466,0,0,0,0,0,0,0,0,6.171379674,9.990250872,0.639396997
57,-82.71844545,25.14119706,4.202152102,6.923713869,0.445244718,31.63596668,11.25838992,0.372950827,0,0,0,0,0,0,0,0,4.202152102,6.923713869,0.445244718
58,-82.61951905,25.13829969,19.46251541,23.43968497,1.225052501,101.469625,34.43240193,0.559574049,0,0,0,0,0,0,0,0,19.46251541,23.43968497,1.225052501
59,-82.52060815,25.1353366,7.988447775,9.933257561,0.526758603,44.99621976,15.29541712,0.255115565,0,0,0,0,0,0,0,0,7.988447775,9.933257561,0.526758603
60,-82.4217131,25.13230782,1.57371732,2.382309284,0.136368092,14.29425511,4.901709514,0.09146188,0,0,0,0,0,0,0,0,1.57371732,2.382309284,0.136368092
61,-82.32283425,25.1292134,3.054744107,4.125664947,0.226501077,21.12013895,7.209940401,0.127444553,0,0,0,0,0,0,0,0,3.054744107,4.125664947,0.226501077
62,-82.22397194,25.12605338,2.319050142,3.259660193,0.181727887,17.67996695,6.046222772,0.10925991,0,0,0,0,0,0,0,0,2.319050142,3.259660193,0.181727887
63,-82.12512651,25.1228278,2.167777858,3.0815936,0.172521691,16.98275444,5.810462146,0.105586398,0,0,0,0,0,0,0,0,2.167777858,3.0815936,0.172521691
64,-82.02629831,25.11953671,3.375871237,4.503672155,0.246044374,22.64101906,7.724598327,0.135511351,0,0,0,0,0,0,0,0,3.375871237,4.503672155,0.246044374
65,-81.92748768,25.11618016,5.662087775,7.194837895,0.385179954,33.64670934,11.45086023,0.194221623,0,0,0,0,0,0,0,0,5.662087775,7.194837895,0.385179954
66,-81.82869497,25.11275819,9.980139273,12.27773011,0.647969848,54.76275082,18.60444026,0.30765487,0,0,0,0,0,0,0,0,9.980139273,12.27773011,0.647969848
67,-81.72992052,25.10927085,5.52380323,7.032059512,0.376764172,32.9753397,11.22348218,0.190627859,0,0,0,0,0,0,0,0,5.52380323,7.032059512,0.376764172
68,-81.63116468,25.10571818,4.093705405,5.348653672,0.289730644,26.06941605,8.885056085,0.153745293,0,0,0,0,0,0,0,0,4.093705405,5.348653672,0.289730644
69,-81.53242778,25.10210024,4.904333405,6.302865255,0.339064203,29.9745856,10.20727833,0.174581096,0,0,0,0,0,0,0,0,4.904333405,6.302865255,0.339064203
70,-84.0035312,25.26304933,1.204796826,5.270809484,0.390748823,2.719120343,3.0062039,0.260268818,0,0,0,0,0,0,0,0,1.204796826,5.270809484,0.390748823
71,-83.90436202,25.26100138,1.234830376,5.39951647,0.400271187,2.794949097,3.075932821,0.266206051,0,0,0,0,0,0,0,0,1.234830376,5.39951647,0.400271187
72,-83.80520384,25.25888698,3.101833304,13.40044599,0.992218604,7.514998512,7.44544347,0.63788322,0,0,0,0,0,0,0,0,3.101833304,13.40044599,0.992218604
73,-83.70605703,25.25670617,7.055453488,36.42950438,2.88962271,10.63296346,35.58883593,3.420644397,0,0,0,0,0,0,0,0,7.055453488,36.42950438,2.88962271
74,-83.60692194,25.25445897,4.670800177,22.81725448,1.811399342,7.139123375,15.14910821,1.459291591,0,0,0,0,0,0,0,0,4.670800177,22.81725448,1.811399342
75,-83.50779891,25.25214542,15.76960981,80.27555488,6.795841292,47.40892915,63.57395059,6.079330561,0,0,0,0,0,0,0,0,15.76960981,80.27555488,6.795841292
76,-83.40868829,25.24976555,13.36910034,64.62371169,5.133286918,21.13142412,39.11290632,3.758220279,0,0,0,0,0,0,0,0,13.36910034,64.62371169,5.133286918
77,-83.30959044,25.24731939,14.8772673,71.87238286,5.70925705,23.56088263,43.28781977,4.158642061,0,0,0,0,0,0,0,0,14.8772673,71.87238286,5.70925705
78,-83.21050571,25.24480698,12.95675508,62.64186532,4.975811942,20.4672508,37.97185785,3.648778955,0,0,0,0,0,0,0,0,12.95675508,62.64186532,4.975811942
79,-83.11143444,25.24222835,13.1299101,52.05733338,4.030410486,37.78091646,32.64585783,2.911600579,0,0,0,0,0,0,0,0,13.1299101,52.05733338,4.030410486
80,-83.01237699,25.23958354,5.060053096,20.311736,1.57357198,14.51498749,13.1259892,1.177572451,0,0,0,0,0,0,0,0,5.060053096,20.311736,1.57357198
81,-82.91333369,25.23687257,9.123139172,14.58681445,0.930420157,67.07981386,23.76371227,0.76400371,0,0,0,0,0,0,0,0,9.123139172,14.58681445,0.930420157
82,-82.8143049,25.2340955,4.610561154,7.559700023,0.485511038,34.57128595,12.29363244,0.405271594,0,0,0,0,0,0,0,0,4.610561154,7.559700023,0.485511038
83,-82.71529098,25.23125236,20.15422796,24.25391805,1.26714905,104.8825496,35.58905801,0.578001662,0,0,0,0,0,0,0,0,20.15422796,24.25391805,1.26714905
84,-82.61629225,25.22834319,26.39090433,31.59527417,1.646703467,135.6687852,46.02288398,0.744279086,0,0,0,0,0,0,0,0,26.39090433,31.59527417,1.646703467
85,-82.51730909,25.22536802,9.006862184,11.13206,0.588737719,49.98629749,16.98606294,0.281948407,0,0,0,0,0,0,0,0,9.006862184,11.13206,0.588737719
86,-82.41834182,25.22232691,3.030636757,4.097287551,0.225033941,21.00636194,7.171442853,0.126841698,0.000314159,0,0.279420809,0,0.300614884,0,0.015808363,0,3.309105463,4.396615234,0.240771608
87,-82.31939079,25.21921988,16.07144059,19.44796143,1.018676965,84.74534478,28.76458025,0.469299375,0,0,0,0,0,0,0,0,16.07144059,19.44796143,1.018676965
88,-82.22045636,25.21604699,12.67370397,15.44839611,0.811896003,68.00711232,23.09232112,0.379013741,0,0,0,0,0,0,0,0,12.67370397,15.44839611,0.811896003
89,-82.12153887,25.21280828,12.34307665,15.05920597,0.791774539,66.37989065,22.54091098,0.370241654,0,0,0,0,0,0,0,0,12.34307665,15.05920597,0.791774539
90,-82.02263867,25.2095038,13.52203428,16.44698807,0.863524065,72.18374145,24.50766102,0.401534081,0,0,0,0,0,0,0,0,13.52203428,16.44698807,0.863524065
91,-81.92375609,25.20613358,15.86671503,19.20697357,1.006217686,83.73615842,28.42257682,0.463853661,0,0,0,0,0,0,0,0,15.86671503,19.20697357,1.006217686
92,-81.82489149,25.20269767,12.18373286,14.8716382,0.782077124,65.59578756,22.27520698,0.366015092,0,0,0,0,0,0,0,0,12.18373286,14.8716382,0.782077124
93,-81.72604521,25.19919613,9.062686458,11.19777223,0.592135097,50.26008224,17.07882524,0.283421358,0,0,0,0,0,0,0,0,9.062686458,11.19777223,0.592135097
94,-81.62721759,25.195629,13.01745571,15.85303535,0.832816199,69.69928042,23.66574472,0.388137096,0,0,0,0,0,0,0,0,13.01745571,15.85303535,0.832816199
95,-81.52840898,25.19199632,11.54903162,14.12451464,0.743450194,62.47342089,21.2171638,0.349187414,0.000314159,0,0.279420809,0,0.300614884,0,0.015808363,0,11.82482419,14.42069218,0.759024996
96,-84.00131029,25.35323238,4.130079527,17.80693376,1.318231856,10.11596082,9.860881622,0.843256882,0,0,0,0,0,0,0,0,4.130079527,17.80693376,1.318231856
97,-83.90206788,25.3511761,1.271648633,5.55729891,0.411944694,2.887919165,3.161470768,0.273488729,0,0,0,0,0,0,0,0,1.271648633,5.55729891,0.411944694
98,-83.80283652,25.34905311,2.710923004,11.72522325,0.868277533,6.526298204,6.527945061,0.559865477,0,0,0,0,0,0,0,0,2.710923004,11.72522325,0.868277533
99,-83.70361656,25.34686343,9.360141694,48.27249521,3.830533312,14.29555734,47.19717316,4.539441891,0,0,0,0,0,0,0,0,9.360141694,48.27249521,3.830533312
100,-83.60440835,25.3446071,22.94058156,116.4651919,9.864122928,69.6252482,90.76530706,8.665781896,0,0,0,0,0,0,0,0,22.94058156,116.4651919,9.864122928
101,-83.50521225,25.34228415,18.36466987,88.6338125,7.041098794,29.17956497,52.94808596,5.08514407,0,0,0,0,0,0,0,0,18.36466987,88.6338125,7.041098794
102,-83.40602861,25.33989461,19.25785988,92.92673289,7.382208752,30.61876123,55.42328191,5.322532171,0,0,0,0,0,0,0,0,19.25785988,92.92673289,7.382208752
103,-83.30685777,25.33743851,22.76407945,109.7786023,8.721236725,36.26870112,65.1423374,6.254644415,0,0,0,0,0,0,0,0,22.76407945,109.7786023,8.721236725
104,-83.20770009,25.33491589,11.66349645,46.28868381,3.583966206,33.55120606,29.0938219,2.596072662,0,0,0,0,0,0,0,0,11.66349645,46.28868381,3.583966206
105,-83.10855592,25.33232678,12.61546384,50.03357959,3.873789201,36.29701299,31.39962969,2.800898171,0,0,0,0,0,0,0,0,12.61546384,50.03357959,3.873789201
106,-83.0094256,25.32967122,6.473734492,25.87294488,2.003962121,18.58731553,16.53696986,1.480609355,0,0,0,0,0,0,0,0,6.473734492,25.87294488,2.003962121
107,-82.9103095,25.32694924,8.165779405,13.09598668,0.836031077,60.17691252,21.32774378,0.687763226,0,0,0,0,0,0,0,0,8.165779405,13.09598668,0.836031077
108,-82.81120794,25.32416089,4.105054552,6.772510811,0.435671568,30.93846937,11.01241555,0.365274156,0,0,0,0,0,0,0,0,4.105054552,6.772510811,0.435671568
109,-82.7121213,25.32130619,31.56028932,37.68029347,1.961304192,161.198846,54.67552595,0.882212741,0,0,0,0,0,0,0,0,31.56028932,37.68029347,1.961304192
110,-82.61304991,25.3183852,39.85851012,47.44834787,2.466320995,202.1934103,68.56958961,1.103743178,0,0,0,0,0,0,0,0,39.85851012,47.44834787,2.466320995
111,-82.51399412,25.31539795,2.9796616,4.03728335,0.221931672,20.76597872,7.090108837,0.125568309,0,0,0,0,0,0,0,0,2.9796616,4.03728335,0.221931672
112,-82.41495428,25.31234448,3.611005045,4.780454357,0.260354252,23.76014613,8.103362678,0.141456411,0,0,0,0,0,0,0,0,3.611005045,4.780454357,0.260354252
113,-82.31593074,25.30922483,19.7935361,23.82933815,1.245197905,103.1028361,34.98590397,0.568392161,0,0,0,0,0,0,0,0,19.7935361,23.82933815,1.245197905
114,-82.21692385,25.30603906,11.04546611,13.53175441,0.712803981,59.99728396,20.37811824,0.33584609,0,0,0,0,0,0,0,0,11.04546611,13.53175441,0.712803981
115,-82.11793395,25.30278719,15.24191344,18.47150316,0.968193234,80.65665822,27.37897089,0.447237718,0,0,0,0,0,0,0,0,15.24191344,18.47150316,0.968193234
116,-82.01896139,25.29946928,15.23451539,18.46279472,0.967743001,80.62019911,27.36661539,0.44704101,0,0,0,0,0,0,0,0,15.23451539,18.46279472,0.967743001
117,-81.92000652,25.29608538,12.55389951,15.30737112,0.80460489,67.41744066,22.89250083,0.375834788,0,0,0,0,0,0,0,0,12.55389951,15.30737112,0.80460489
118,-81.82106968,25.29263552,9.463492826,11.66957196,0.616527549,52.22646671,17.74507477,0.294002421,0,0,0,0,0,0,0,0,9.463492826,11.66957196,0.616527549
119,-81.72215122,25.28911976,12.32558102,15.03861141,0.790709782,66.2937936,22.51173576,0.369777551,0,0,0,0,0,0,0,0,12.32558102,15.03861141,0.790709782
120,-81.62325149,25.28553814,14.51472309,17.61550823,0.923937561,77.07341285,26.16466561,0.427906801,0,0,0,0,0,0,0,0,14.51472309,17.61550823,0.923937561
121,-81.52437082,25.28189072,12.10742196,14.78181063,0.777432961,65.22030523,22.14797013,0.363991223,0,0,0,0,0,0,0,0,12.10742196,14.78181063,0.777432961
122,-83.99907867,25.44341414,6.066970993,26.10736644,1.932337962,15.01585903,14.41447744,1.230396598,0,0,0,0,0,0,0,0,6.066970993,26.10736644,1.932337962
123,-83.89976269,25.44134952,2.88022812,12.45077022,0.921957002,6.954497966,6.925242582,0.593649614,0,0,0,0,0,0,0,0,2.88022812,12.45077022,0.921957002
124,-83.80045779,25.43921792,2.856585649,12.34945182,0.914460978,6.894701262,6.869754799,0.588931288,0,0,0,0,0,0,0,0,2.856585649,12.34945182,0.914460978
125,-83.70116433,25.43701937,9.118931019,47.03299748,3.732056789,13.91213349,45.98166862,4.42229826,0,0,0,0,0,0,0,0,9.118931019,47.03299748,3.732056789
126,-83.60188267,25.43475389,28.66770862,145.3681993,12.31461909,87.37226401,112.5076412,10.73378913,0,0,0,0,0,0,0,0,28.66770862,145.3681993,12.31461909
127,-83.50261315,25.43242153,35.53885919,180.0447332,15.25461465,108.6663113,138.6070069,13.21614567,0,0,0,0,0,0,0,0,35.53885919,180.0447332,15.25461465
128,-83.40335612,25.4300223,25.25281286,121.7401494,9.671685942,40.27931894,72.04287142,6.916436668,0,0,0,0,0,0,0,0,25.25281286,121.7401494,9.671685942
129,-83.30411194,25.42755624,22.67071226,109.3298535,8.685579719,36.11824255,64.88348348,6.229819051,0,0,0,0,0,0,0,0,22.67071226,109.3298535,8.685579719
130,-83.20488097,25.4250234,16.17131264,64.02175118,4.956354389,46.55436833,40.01523966,3.566218937,0,0,0,0,0,0,0,0,16.17131264,64.02175118,4.956354389
131,-83.10566354,25.4224238,8.880993886,35.34273939,2.736843456,25.52672921,22.35744475,1.997670693,0,0,0,0,0,0,0,0,8.880993886,35.34273939,2.736843456
132,-83.00646002,25.41975747,8.479432214,33.76305649,2.614589471,24.36888908,21.38586204,1.911362104,0,0,0,0,0,0,0,0,8.479432214,33.76305649,2.614589471
133,-82.90727075,25.41702446,3.388152345,5.65613037,0.364989947,25.79440282,9.198695522,0.308711254,0.000314159,0,0.135779875,0,0.201218472,0,0.013008549,0,3.522867801,5.855571916,0.377883831
134,-82.80809608,25.41422481,5.533176709,8.996423121,0.576474579,41.20912415,14.63512317,0.478428215,0,0,0,0,0,0,0,0,5.533176709,8.996423121,0.576474579
135,-82.70893637,25.41135855,35.95492881,42.85333944,2.228755112,182.9077031,62.03316784,0.999519986,0,0,0,0,0,0,0,0,35.95492881,42.85333944,2.228755112
136,-82.60979196,25.40842572,8.797331889,10.88541637,0.575986031,48.95889299,16.6379663,0.276421654,0,0,0,0,0,0,0,0,8.797331889,10.88541637,0.575986031
137,-82.5106632,25.40542637,2.511835545,3.48659297,0.193460507,18.57421297,6.348657208,0.113977745,0,0,0,0,0,0,0,0,2.511835545,3.48659297,0.193460507
138,-82.41155045,25.40236053,1.359017368,2.129580313,0.123301787,13.34833986,4.582131388,0.086506644,0,0,0,0,0,0,0,0,1.359017368,2.129580313,0.123301787
139,-82.31245405,25.39922824,9.712602366,11.96280537,0.631687968,53.44916871,18.1593581,0.300583413,0,0,0,0,0,0,0,0,9.712602366,11.96280537,0.631687968
140,-82.21337435,25.39602956,8.90956394,11.01752768,0.582816299,49.50916505,16.82440428,0.279381624,0,0,0,0,0,0,0,0,8.90956394,11.01752768,0.582816299
141,-82.11431169,25.39276452,15.32867564,18.57363323,0.973473446,81.08424785,27.52387529,0.449544708,0,0,0,0,0,0,0,0,15.32867564,18.57363323,0.973473446
142,-82.01526644,25.38943317,14.55377956,17.66148263,0.926314477,77.2658376,26.22987491,0.428944805,0,0,0,0,0,0,0,0,14.55377956,17.66148263,0.926314477
143,-81.91623892,25.38603556,6.736798249,8.459907917,0.450585161,38.87889752,13.22307553,0.222265128,0,0,0,0,0,0,0,0,6.736798249,8.459907917,0.450585161
144,-81.8172295,25.38257173,13.11446034,15.96722205,0.83871975,70.17686143,23.82758313,0.390712184,0,0,0,0,0,0,0,0,13.11446034,15.96722205,0.83871975
145,-81.71823852,25.37904173,9.88598186,12.16689494,0.642239574,54.30039719,18.44777986,0.305165714,0,0,0,0,0,0,0,0,9.88598186,12.16689494,0.642239574
146,-81.61926632,25.37544561,13.14430552,16.0023536,0.840536081,70.32380292,23.87737743,0.391504501,0,0,0,0,0,0,0,0,13.14430552,16.0023536,0.840536081
147,-81.52031325,25.37178341,9.578375085,11.8048029,0.623519105,52.79029208,17.93611278,0.297036967,0,0,0,0,0,0,0,0,9.578375085,11.8048029,0.623519105
148,-83.99683632,25.5335946,5.700308779,24.53605743,1.816084931,14.08825935,13.55225916,1.157093817,0,0,0,0,0,0,0,0,5.700308779,24.53605743,1.816084931
149,-83.89744641,25.53152164,3.835665722,16.54524099,1.224885729,9.371206748,9.169061306,0.784436477,0,0,0,0,0,0,0,0,3.835665722,16.54524099,1.224885729
150,-83.79806763,25.52938142,1.349589713,5.891310752,0.436656504,3.08476491,3.342733414,0.288919276,0,0,0,0,0,0,0,0,1.349589713,5.891310752,0.436656504
151,-83.69870032,25.52717398,8.088635028,41.73866484,3.311428775,12.27460816,40.7911187,3.922049623,0.000314159,0,0.121992695,0,0.647708229,0,0.052093136,0,8.208086603,42.37326048,3.362481595
152,-83.59934484,25.52489934,25.42807938,129.0188104,10.92846178,77.33315917,100.2069988,9.563830698,0,0,0,0,0,0,0,0,25.42807938,129.0188104,10.92846178
153,-83.50000154,25.52255755,20.05325911,96.74964346,7.685972333,31.90042406,57.62774393,5.533953946,0,0,0,0,0,0,0,0,20.05325911,96.74964346,7.685972333
154,-83.40067079,25.52014862,18.86063461,91.0175574,7.230508112,29.97870677,54.3224558,5.216955644,0,0,0,0,0,0,0,0,18.86063461,91.0175574,7.230508112
155,-83.30135292,25.5176726,11.2668371,54.51964807,4.330430956,17.74562503,33.29786464,3.200472048,0,0,0,0,0,0,0,0,11.2668371,54.51964807,4.330430956
156,-83.20204829,25.51512951,13.41957413,53.1968279,4.118597644,38.61645917,33.34760255,2.973936445,0,0,0,0,0,0,0,0,13.41957413,53.1968279,4.118597644
157,-83.10275726,25.5125194,10.50411484,41.72785184,3.230996707,30.20738957,26.28627916,2.346676388,0,0,0,0,0,0,0,0,10.50411484,41.72785184,3.230996707
158,-83.00348018,25.5098423,7.86149554,31.33218703,2.426460906,22.58733105,19.89118233,1.778584083,0,0,0,0,0,0,0,0,7.86149554,31.33218703,2.426460906
159,-82.90421739,25.50709824,9.743569683,15.55296643,0.991590333,71.55418372,25.34273156,0.813431641,0,0,0,0,0,0,0,0,9.743569683,15.55296643,0.991590333
